Date,Description,Debit,Credit,Balance
2024-01-15,Opening Balance,0,500000,500000
2024-01-16,NEFT Payment to TechVendor - INV001,30000,0,470000
2024-01-17,Payment from Acme Corp,0,50000,520000
2024-01-18,Office Rent Payment,45000,0,475000
2024-01-19,Salary - Engineering Team,200000,0,275000
2024-01-20,Payment from Global Industries,0,75000,350000
2024-01-22,AWS Cloud Services,12000,0,338000
2024-01-23,Google Workspace Subscription,5000,0,333000
2024-01-24,Internet & Utilities,3500,0,329500
2024-01-25,Payment from StartupXYZ,0,35000,364500
2024-01-26,Office Supplies - Stationery,2500,0,362000
2024-01-29,Marketing Campaign - Google Ads,15000,0,347000
2024-01-30,Payment from Enterprise Solutions,0,100000,447000



